部	1973076
步	1078449
布	592471
补	213384
怖	104374
捕	87990
卜	58267
簿	10381
埔	7240
哺	6093
埠	4219
卟	3150
堡	1900
逋	1338
钚	1276
晡	1012
瓿	975
醭	923
蔀	918
埗	906
𬷕	900
擦	173441
嚓	17691
才	2775863
菜	289667
彩	275700
采	265004
财	236576
材	213693
猜	186495
蔡	87133
裁	80260
踩	66921
睬	19641
偲	933
参	387949
残	233805
惨	223730
餐	201953
灿	72404
惭	27981
蚕	16134
璨	9451
粲	3874
骖	1055
黪	980
䅟	900
藏	340541
苍	195204
仓	69747
舱	44780
沧	38694
伧	1560
鸧	918
草	412606
操	236065
肏	180900
艹	146900
曹	19228
嘈	16162
糙	13740
槽	13312
漕	3563
屮	3122
芔	2011
艚	950
螬	926
𥕢	900
测	289306
侧	199992
册	53984
策	53031
厕	46444
恻	8339
岑	11216
涔	6565
参	901
曾	622871
层	391723
蹭	27251
噌	5824
嶒	935
差	574516
查	418454
察	414874
茶	249711
插	168335
诧	62608
叉	55052
岔	24523
嚓	17691
茬	14542
衩	4668
碴	4502
姹	4250
杈	3658
搽	3290
刹	1900
檫	1583
槎	1319
汊	1289
镲	1087
锸	1003
馇	999
垞	942
侘	930
猹	929
蹅	927
嵖	915
喳	901
𥻗	900
拆	100344
柴	62580
钗	18940
差	10900
豺	4725
侪	1547
茝	1289
虿	1024
瘥	945
产	618567
颤	195853
缠	146047
禅	47591
蝉	27887
搀	21947
铲	21046
婵	17619
掺	13339
阐	12857
忏	9587
馋	9279
潺	8263
蟾	6136
谄	5948
谗	4441
孱	3598
冁	2096
澶	1353
觇	1067
镡	1041
羼	1034
廛	1031
巉	1014
蒇	981
韂	977
躔	947
刬	935
浐	934
襜	931
瀍	925
骣	923
镵	910
旵	908
啴	906
梴	903
儳	901
单	901
辿	900
𬊤	900
长	3100960
常	1624597
场	1444126
唱	215564
厂	140940
尝	128741
昌	88838
畅	67198
肠	65117
偿	59252
敞	33587
怅	20356
倡	16356
娼	11178
嫦	9871
猖	9848
昶	3383
徜	3031
氅	2598
伥	1914
裳	1900
菖	1770
苌	1766
阊	1232
鬯	1029
惝	1019
鲳	998
鲿	900
𬬮	900
超	840140
朝	710693
潮	139990
吵	117958
嘲	68128
抄	48568
炒	39481
巢	29549
钞	22989
晁	7704
焯	1447
耖	932
怊	915
弨	907
绰	901
车	1338966
彻	169315
扯	132378
撤	112018
澈	32941
掣	8697
砗	1132
坼	1096
尺	901
㬚	900
沉	719389
陈	715304
臣	248243
晨	214073
尘	205357
趁	125705
辰	112921
衬	51172
嗔	32068
琛	16626
称	7900
宸	7616
忱	6325
抻	3294
碜	2994
谌	2720
谶	2634
郴	1354
棽	1200
瞋	1163
榇	1055
龀	1011
疢	912
梣	903
煁	900
𬘭	900
成	3479215
城	1259795
程	591519
称	443007
承	362506
诚	215560
盛	202948
乘	132884
撑	106050
呈	67809
惩	47047
丞	32614
澄	23249
逞	21657
橙	19884
骋	9877
瞠	7774
秤	6582
铖	2023
塍	1227
琤	1183
裎	1180
澂	1166
埕	1096
柽	1028
蛏	1005
酲	963
枨	941
珵	941
赪	930
偁	920
宬	913
牚	910
珹	909
憕	905
庱	904
噌	901
晟	901
铛	901
吃	1446463
持	642215
迟	204333
赤	174998
痴	141146
池	133232
尺	103153
齿	91682
斥	83060
驰	70566
耻	70186
翅	65325
哧	32374
炽	28094
嗤	27183
蚩	23324
叱	19854
弛	13491
侈	12848
啻	4990
敕	4987
螭	3705
魑	3443
饬	3226
笞	2052
匙	1900
踟	1602
墀	1456
豉	1398
媸	1390
褫	1384
鸱	1253
彳	1048
茌	1025
篪	1010
瘛	974
摛	958
眵	956
傺	942
漦	907
胣	903
瓻	900
痓	900
𫄨	900
冲	863883
充	410123
重	114949
虫	111259
崇	108703
宠	86962
忡	16359
憧	13237
铳	3995
舂	2011
艟	1455
翀	1152
茺	1016
珫	911
漴	903
涌	901
种	901
㳘	900
摏	900
抽	271638
仇	209849
臭	123393
丑	96898
愁	94276
筹	55832
瞅	41155
酬	32880
绸	24678
畴	12650
踌	12138
惆	10548
稠	10116
俦	2234
雠	1637
瘳	1073
犨	1069
